Galaxy,Name_UI,uband,gband,rband,iband,zband,Redshift,radialVelocity_UI,luminosity_UI,angularSize_UI,Camera
Galaxy18,NGC4651,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5390/1/frame-u-005390-1-0116.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5390/1/frame-g-005390-1-0116.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5390/1/frame-r-005390-1-0116.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5390/1/frame-i-005390-1-0116.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5390/1/frame-z-005390-1-0116.fits.bz2,190.927656,V(km/s) 698,6.8 mag,4.00'x2.7',Edge wise
Galaxy19,M86 NGC 4406,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/5/frame-u-003804-5-0192.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/5/frame-g-003804-5-0192.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/5/frame-r-003804-5-0192.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/5/frame-i-003804-5-0192.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/5/frame-z-003804-5-0192.fits.bz2,186.549225,V(km/s) 1374,8.9 mag,7.5×5.5 (arc min),Forward Facing
Galaxy20,M87 NGC 4486,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/3/frame-u-003836-3-0258.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/3/frame-g-003836-3-0258.fits.bz2,,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/3/frame-r-003836-3-0258.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/3/frame-i-003836-3-0258.fits.bz2,187.7059308,V(km/s) 1307,9.2 mag,7.2 x 6.8 arc-minutes,Forward Facing
Galaxy21,M88 NGC 4501,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0114.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0114.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0114.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0114.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0114.fits.bz2,187.9964688,V(km/s) 2281,9.7 mag,6.8 x 3.7 arc mi,Forward Facing
Galaxy22,M89 NGC 4552,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3805/4/frame-u-003805-4-0012.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3805/4/frame-g-003805-4-0012.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3805/4/frame-r-003805-4-0012.fits.bz2,,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3805/4/frame-i-003805-4-0012.fits.bz2,188.9158639,V(km/s) 340,9.8 mag,5.1 x 4.7 arc minutes,Forward Facing
Galaxy23,M90 NGC 4569,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-u-003836-5-0268.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-g-003836-5-0268.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-irg-003836-5-0268.jpg,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-i-003836-5-0268.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-z-003836-5-0268.fits.bz2,189.2075041,V(km/s) 235,17 mag,  9.5x4 arc minutes,Forward Facing
Galaxy24,M104 NGC 4594,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/6005/6/frame-u-006005-6-0085.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/6005/6/frame-g-006005-6-0085.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/6005/6/frame-r-006005-6-0085.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/6005/6/frame-i-006005-6-0085.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/6005/6/frame-z-006005-6-0085.fits.bz2,189.9976327,V(km/s) 250,16.9 mag,8.6 × 4.2 arcmin,Edge wise
Galaxy25,M85 NGC 4382,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-u-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-g-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-r-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-i-005376-5-0028.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/5376/5/frame-z-005376-5-0028.fits.bz2,186.350221,V(km/s) 769,9.2 mag, 7.1 x 5.2 arc-minutes,Forward Facing
Galaxy26,M99 NGC 4254,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-u-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-g-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-r-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-i-004381-2-0093.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/4381/2/frame-z-004381-2-0093.fits.bz2,184.706771,V(km/s) 2404,26 mag, 5.4x4.8 arc-minutes,Forward Facing
Galaxy27,NGC 4216,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-u-003836-5-0234.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-g-003836-5-0234.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-r-003836-5-0234.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-i-003836-5-0234.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3836/5/frame-z-003836-5-0234.fits.bz2,183.97685,V(km/s) 1300,28.5 mag, 8 x 2 arcminutes,Forward Facing
Galaxy28,NGC 4388,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/4/frame-u-003804-4-0191.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/4/frame-g-003804-4-0191.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/4/frame-r-003804-4-0191.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/4/frame-i-003804-4-0191.fits.bz2,https://dr12.sdss.org/sas/dr12/boss/photoObj/frames/301/3804/4/frame-z-003804-4-0191.fits.bz2,186.445083,V(km/s) 2524,61 mag, 8.5 x 3.2 arc minutes,Edge wise
